Date,Open,High,Low,Close,Adj Close,Volume
2017-09-04,0.063780,0.063780,0.002278,0.013500,0.013500,2076
2017-09-05,0.014130,0.014130,0.001876,0.001908,0.001908,3100
2017-09-06,0.002034,0.003389,0.001695,0.002034,0.002034,14991
2017-09-07,0.002012,0.002012,0.001409,0.001811,0.001811,23201
2017-09-08,0.001656,0.002172,0.000001,0.002172,0.002172,15682
2017-09-09,0.002151,0.004551,0.001580,0.002825,0.002825,70351
2017-09-10,0.002783,0.002783,0.001795,0.002094,0.002094,57657
2017-09-11,0.002086,0.205600,0.001457,0.001999,0.001999,64329
2017-09-12,0.001973,0.002941,0.001588,0.002059,0.002059,71875
2017-09-13,0.001931,0.021790,0.001658,0.001953,0.001953,30314
2017-09-14,0.001580,0.017180,0.001234,0.001383,0.001383,48792
2017-09-15,0.001609,0.001830,0.000138,0.001817,0.001817,20218
2017-09-16,0.001781,0.254500,0.001272,0.001832,0.001832,51467
2017-09-17,0.001860,2.310000,0.001576,0.003346,0.003346,127145
2017-09-18,0.003853,22017220.000000,0.002464,0.003273,0.003273,137627
2017-09-19,0.003113,0.028300,0.000260,0.002578,0.002578,121182
2017-09-20,0.002583,117989312.000000,0.001985,0.002722,0.002722,76959
2017-09-21,0.002475,103108000.000000,0.001833,0.002075,0.002075,85072
2017-09-22,0.002117,0.020250,0.001867,0.002077,0.002077,34134
2017-09-23,0.002261,0.002364,0.002089,0.002346,0.002346,40386
2017-09-24,0.002317,0.002351,0.002077,0.002247,0.002247,47469
2017-09-25,0.002344,1474450.000000,0.000737,0.001740,0.001740,83214
2017-09-26,0.001703,0.002598,0.001562,0.001876,0.001876,43230
2017-09-27,0.002015,30997000.000000,0.001736,0.002508,0.002508,35706
2017-09-28,0.002449,0.002449,0.001583,0.001665,0.001665,35397
2017-09-29,0.001609,0.043590,0.001463,0.001858,0.001858,33557
2017-09-30,0.001923,0.002689,0.001547,0.001950,0.001950,26616
2017-10-01,0.001957,0.002401,0.001520,0.001884,0.001884,23777
2017-10-02,0.001840,0.003117,0.001707,0.002820,0.002820,177224
2017-10-03,0.002772,1316317.000000,0.002116,0.002442,0.002442,190866
2017-10-04,0.002441,0.003494,0.002188,0.003351,0.003351,612855
2017-10-05,0.003389,0.003652,0.002906,0.003103,0.003103,270053
2017-10-06,0.003244,13.920000,0.002741,0.003009,0.003009,188187
2017-10-07,0.003038,5217704.500000,0.002275,0.002400,0.002400,131177
2017-10-08,0.002386,0.002807,0.002253,0.002689,0.002689,96479
2017-10-09,0.002580,0.003154,0.001419,0.002126,0.002126,84237
2017-10-10,0.001790,0.002560,0.001680,0.002550,0.002550,305
2017-10-11,0.002550,0.003390,0.001660,0.002500,0.002500,5429
2017-10-12,0.002500,0.002930,0.001800,0.001800,0.001800,290
2017-10-13,0.001800,0.002880,0.001800,0.002010,0.002010,220
2017-10-14,0.002010,0.002930,0.001990,0.002740,0.002740,119
2017-10-15,0.002740,0.002920,0.001990,0.002250,0.002250,393
2017-10-16,0.002970,0.003920,0.001980,0.002530,0.002530,667
2017-10-17,0.002530,0.002530,0.001770,0.002180,0.002180,97
2017-10-18,0.002000,0.002160,0.001840,0.001920,0.001920,1359
2017-10-19,0.001920,0.002170,0.001780,0.001800,0.001800,89849
2017-10-20,0.001800,0.002140,0.001780,0.002130,0.002130,4509
2017-10-21,0.002130,0.002560,0.001830,0.002340,0.002340,2288
2017-10-22,0.002340,0.002650,0.002050,0.002650,0.002650,921
2017-10-23,0.002650,0.003190,0.002170,0.003120,0.003120,2330
2017-10-24,0.003120,0.003140,0.002150,0.002660,0.002660,762
2017-10-25,0.002660,0.004000,0.002660,0.004000,0.004000,4061
2017-10-26,0.004000,0.004120,0.002520,0.002960,0.002960,2713
2017-10-27,0.002960,0.003790,0.002610,0.003120,0.003120,2972
2017-10-28,0.003120,0.003690,0.002900,0.003680,0.003680,2109
2017-10-29,0.003680,0.004690,0.002640,0.002690,0.002690,2526
2017-10-30,0.002690,0.003700,0.002280,0.002620,0.002620,1934
2017-10-31,0.002620,0.003400,0.002490,0.002780,0.002780,7086
2017-11-01,0.002780,0.002830,0.002210,0.002220,0.002220,473
2017-11-02,0.002220,0.002700,0.002020,0.002120,0.002120,498
2017-11-03,0.002120,0.002630,0.002120,0.002170,0.002170,134
2017-11-04,0.002170,0.002600,0.002150,0.002180,0.002180,271
2017-11-05,0.002180,0.002550,0.002150,0.002480,0.002480,387
2017-11-06,0.002480,0.002480,0.001820,0.001830,0.001830,861
2017-11-07,0.001830,0.002340,0.001830,0.002310,0.002310,474
2017-11-08,0.002310,0.002470,0.002150,0.002360,0.002360,3352
2017-11-09,0.002360,0.002460,0.002250,0.002430,0.002430,1109
2017-11-10,0.002430,0.002430,0.002000,0.002280,0.002280,720
2017-11-11,0.002280,0.002330,0.001810,0.002250,0.002250,1032
2017-11-12,0.002250,0.003100,0.001570,0.001850,0.001850,3952
2017-11-13,0.001850,0.002300,0.001770,0.002150,0.002150,1856
2017-11-14,0.002150,0.002630,0.002030,0.002500,0.002500,3668
2017-11-15,0.002500,0.002620,0.002100,0.002300,0.002300,4511
2017-11-16,0.002300,0.002350,0.001900,0.002200,0.002200,4017
2017-11-17,0.002200,0.002300,0.002000,0.002000,0.002000,4538
2017-11-18,0.002000,0.002200,0.001750,0.001930,0.001930,9094
2017-11-19,0.001930,0.002060,0.001920,0.001960,0.001960,3738
2017-11-20,0.001960,0.002240,0.001960,0.002150,0.002150,5596
2017-11-21,0.002150,0.002250,0.001830,0.002120,0.002120,4955
2017-11-22,0.002120,0.003000,0.002120,0.002530,0.002530,4683
